iter	Passed	Remaining
211	46451	41192
212	46699	40999
213	46950	40807
214	47167	40586
215	47426	40400
216	47670	40201
217	47889	39981
218	48129	39778
219	48384	39587
220	48651	39405
221	48953	39251
222	49215	39063
223	49460	38862
224	49698	38654
225	49958	38463
226	50175	38239
227	50413	38031
228	50704	37862
229	50919	37636
230	51168	37435
231	51350	37184
232	51608	36989
233	51807	36752
234	52066	36557
235	52252	36311
236	52510	36114
237	52737	35897
238	52931	35656
239	53200	35466
240	53480	35283
241	53706	35064
242	54068	34933
243	54298	34715
244	54599	34542
245	54843	34332
246	55095	34128
247	55292	33889
248	55500	33656
249	55771	33463
250	56054	33275
251	56319	33076
252	56561	32863
253	56813	32656
254	57147	32495
255	57376	32274
256	57636	32070
257	57833	31830
258	58072	31614
259	58297	31391
260	58539	31176
261	58795	30968
262	59036	30752
263	59267	30531
264	59440	30281
265	59677	30062
266	59944	29860
267	60190	29645
268	60453	29440
269	60697	29224
270	60930	29003
271	61145	28774
272	61375	28551
273	61598	28326
274	61846	28111
275	62080	27891
276	62320	27673
277	62505	27430
278	62708	27195
279	62900	26957
280	63067	26708
281	63348	26507
282	63569	26281
283	63864	26085
284	64113	25870
285	64428	25681
286	64655	25456
287	64911	25243
288	65127	25014
289	65410	24810
290	65753	24629
291	65962	24397
292	66200	24175
293	66417	23946
294	66680	23733
295	66943	23520
296	67116	23276
297	67321	23043
298	67594	22833
299	67783	22594
300	68046	22380
301	68346	22178
302	68612	21964
303	68841	21739
304	69085	21518
305	69336	21299
306	69509	21056
307	69683	20814
308	69977	20608
309	70256	20396
310	70458	20163
311	70685	19936
312	71025	19742
313	71280	19522
314	71524	19300
315	71770	19078
316	72007	18853
317	72289	18640
318	72535	18418
319	72796	18199
320	73119	17995
321	73296	17755
322	73489	17519
323	73661	17278
324	73828	17037
325	74130	16827
326	74389	16606
327	74602	16376
328	74804	16143
329	75009	15911
330	75233	15683
331	75432	15449
332	75623	15215
333	75850	14988
334	76040	14754
335	76270	14527
336	76502	14301
337	76715	14072
338	76923	13841
339	77127	13610
340	77382	13388
341	77554	13152
342	77791	12927
343	78001	12697
344	78294	12481
345	78579	12263
346	78734	12025
347	78940	11795
348	79136	11564
349	79383	11340
350	79573	11108
351	79779	10879
352	79987	10649
353	80254	10428
354	80486	10202
355	80711	9975
356	80921	9746
357	81210	9527
358	81392	9295
359	81602	9066
360	81775	8834
361	81932	8600
362	82065	8364
363	82222	8131
364	82456	7906
365	82705	7683
366	82940	7457
367	83109	7226
368	83296	6997
369	83528	6772
370	83778	6548
371	84011	6323
372	84229	6097
373	84376	5865
374	84567	5637
375	84722	5407
376	84948	5182
377	85123	4954
378	85302	4726
379	85473	4498
380	85715	4274
381	85917	4048
382	86126	3822
383	86404	3600
384	86637	3375
385	86857	3150
386	87054	2924
387	87259	2698
388	87457	2473
389	87713	2249
390	87943	2024
391	88125	1798
392	88307	1572
393	88545	1348
394	88768	1123
395	88956	898
396	89166	673
397	89331	448
398	89485	224
399	89644	0
