iter	RMSE
0	11154.04111
1	10264.6911
2	9475.106813
3	8773.786047
4	8169.854237
5	7619.977708
6	7128.241963
7	6660.496947
8	6240.625161
9	5886.334901
10	5551.311827
11	5252.921552
12	4990.960769
13	4723.082884
14	4492.039347
15	4294.716398
16	4102.436228
17	3942.263665
18	3804.524694
19	3655.770747
20	3515.245269
21	3398.444399
22	3272.447287
23	3159.297399
24	3072.151281
25	2983.947098
26	2920.317397
27	2860.180012
28	2778.574244
29	2694.429478
30	2623.784452
31	2562.944335
32	2496.969135
33	2441.711426
34	2393.038081
35	2340.284901
36	2277.948339
37	2212.691696
38	2181.032356
39	2162.522262
40	2130.858765
41	2091.05235
42	2072.831285
43	2034.479805
44	1996.258561
45	1967.037901
46	1936.085117
47	1911.541272
48	1887.008306
49	1846.744737
50	1802.650383
51	1772.376481
52	1757.919484
53	1725.898505
54	1705.901231
55	1690.74978
56	1653.810096
57	1647.726675
58	1632.93471
59	1597.702998
60	1580.747211
61	1568.681075
62	1557.230969
63	1546.597312
64	1520.93653
65	1508.123992
66	1504.454422
67	1487.688771
68	1480.452786
69	1449.267159
70	1424.381343
71	1422.262018
72	1409.825184
73	1392.835467
74	1384.443082
75	1366.062196
76	1361.930715
77	1351.013534
78	1334.118959
79	1325.412478
80	1307.913768
81	1301.760687
82	1298.325747
83	1272.377912
84	1259.715898
85	1245.706975
86	1232.72886
87	1224.606415
88	1221.294693
89	1206.409169
90	1189.119782
91	1180.067776
92	1156.553598
93	1152.391268
94	1143.312376
95	1141.045725
96	1129.968003
97	1126.031562
98	1122.005224
99	1102.392418
100	1091.795242
101	1079.143815
102	1076.780288
103	1052.980139
104	1040.665736
105	1037.84322
106	1031.197241
107	1014.33573
108	1010.548906
109	1004.496082
110	1001.02723
111	999.7284256
112	993.6113988
113	989.2880834
114	974.9220018
115	953.1127372
116	939.6151702
117	923.4537614
118	915.5899427
119	896.1896861
120	889.7872196
121	871.7438912
122	859.3305311
123	850.1986612
124	840.6438088
125	837.4974413
126	835.2221644
127	823.5278633
128	820.5307433
129	810.4828211
130	805.3102696
131	800.4432629
132	795.7436192
133	782.7660069
134	779.4358709
135	766.333903
136	757.3027678
137	749.276787
138	746.1459946
139	743.8492337
140	742.7251795
141	741.6508507
142	736.0623398
143	732.7173854
144	719.2589983
145	707.715229
146	698.1856559
147	693.3874634
148	690.7706628
149	676.5677752
150	671.7738884
151	664.1534255
152	656.2125479
153	648.5614856
154	646.2993383
155	641.3165561
156	630.1226657
157	622.7460825
158	620.0370561
159	613.937324
160	612.2658414
161	605.3622864
162	602.586179
163	599.1032785
164	596.2003369
165	591.9511496
166	589.2004941
167	587.9334638
168	583.399469
169	579.538244
170	576.2846921
171	575.0548714
172	572.1328783
173	568.9281045
174	566.1967836
175	559.4648347
176	556.4366023
177	551.097941
178	549.7460704
179	548.1537433
180	545.4322002
181	544.332095
182	540.5745226
183	538.0230968
184	536.518465
185	534.2324178
186	525.8337109
187	522.2055782
188	518.0301308
189	517.5695205
190	516.1709555
191	511.2861589
192	510.2910941
193	509.3265188
194	507.955473
195	506.4339508
196	502.7667135
197	498.446518
198	496.4679959
199	492.4360732
200	489.9446953
201	487.2431556
202	486.5816785
203	483.8454593
204	480.1070003
205	476.9330809
206	475.560394
207	474.1415271
208	472.0633708
209	467.6587362
210	465.0915416
211	461.1328042
212	457.3894877
213	454.9597307
214	451.8440528
215	450.6301391
216	447.3198501
217	446.0676204
218	443.5613276
219	442.1834306
220	441.752506
221	440.584753
222	437.6809067
223	436.6741675
224	432.1266807
225	428.4387671
226	424.7330486
227	422.1901243
228	418.6598691
229	416.9849828
230	409.9711331
231	408.9017989
232	407.6756778
233	405.8087861
234	404.6671078
235	403.5992762
236	401.4612888
237	401.0398808
238	400.3565403
239	399.4276998
240	396.4664236
241	395.8508629
242	391.4249265
243	389.4027345
244	385.9529067
245	382.5247298
246	376.8849123
247	376.0641189
248	374.0250658
249	372.5669416
250	371.1600057
251	368.4586164
252	366.3051649
253	364.9655055
254	364.048689
255	363.1948053
256	361.9662262
257	360.6284659
258	359.5625975
259	357.4474511
260	356.746869
261	355.8500422
262	355.2747798
263	352.8911592
264	352.6087577
265	351.016137
266	349.5505041
267	347.3701319
268	346.9566574
269	345.8713661
270	343.4456321
271	342.6436681
272	340.1240953
273	339.5816908
274	338.0145925
275	335.1197082
276	334.5858066
277	334.2722307
278	334.0565265
279	332.7087729
280	332.2851464
281	329.4376177
282	328.6064674
283	325.9593992
284	323.3220321
285	321.2284263
286	319.7294507
287	318.671352
288	315.9740329
289	314.6835623
