iter	RMSE
290	311.5681489
291	309.3158737
292	308.0548173
293	306.9325769
294	305.5886483
295	304.8399844
296	304.5866665
297	304.214121
298	302.7730814
299	302.219835
300	301.7649063
301	301.0980512
302	299.9014759
303	299.1138918
304	298.6225242
305	298.3434673
306	296.9106547
307	295.68976
308	293.17098
309	291.1044628
310	290.6352125
311	290.2052551
312	288.2818309
313	287.4545316
314	285.5398637
315	282.7752184
316	279.2043985
317	278.0435909
318	277.3641257
319	275.2158884
320	274.6875907
321	274.4551606
322	274.1447739
323	273.1906679
324	272.4526321
325	271.1696292
326	271.0229114
327	270.5623232
328	269.6251969
329	269.175967
330	268.8604401
331	268.4374975
332	267.273179
333	265.9282014
334	265.1838201
335	264.6577634
336	263.447579
337	262.9645917
338	262.1381231
339	261.2453696
340	260.3792212
341	260.2404576
342	259.9249516
343	259.0925616
344	257.7137258
345	257.2480285
346	256.519959
347	255.9365181
348	255.581376
349	254.0403711
350	253.6552104
351	253.284724
352	252.5937848
353	252.073209
354	249.4966615
355	248.1644608
356	247.7675294
357	246.1950701
358	245.820144
359	244.6893859
360	244.3782582
361	243.8923866
362	243.6150206
363	242.915642
364	241.0690348
365	238.8968381
366	238.523419
367	238.0488946
368	237.3003285
369	235.8012775
370	234.9747635
371	234.7314528
372	233.7779694
373	233.4581188
374	231.8365811
375	231.1146992
376	228.8831223
377	228.6521402
378	227.4305392
379	227.005143
380	225.2491943
381	224.6132664
382	223.6411685
383	222.2348609
384	220.8007103
385	219.834163
386	219.0383226
387	218.5959899
388	217.8841312
389	217.348108
390	216.6491665
391	215.887724
392	215.0471873
393	214.257515
394	214.0419948
395	213.7259845
396	212.4502596
397	211.6019203
398	211.158139
399	210.9589664
